RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
143,143,Webb Simpson,81,26.92,42,156,-0.19,2019
144,144,Rafa Cabrera Bello,71,26.79,30,112,-0.23,2019
145,145,Kyle Stanley,81,26.56,34,128,-0.21,2019
146,146,Kevin Na,65,26.04,25,96,-0.2,2019
T147,T147,Russell Knox,79,25.74,35,136,-0.2,2019
T147,T147,Nate Lashley,70,25.74,35,136,-0.34,2019
149,149,Rory Sabbatini,97,25.27,47,186,-0.28,2019
T150,T150,Roberto Castro,76,25.0,36,144,-0.31,2019
T150,T150,K.H. Lee,92,25.0,40,160,-0.28,2019
152,152,Russell Henley,78,24.29,34,140,-0.32,2019
153,153,Ben Silverman,70,24.26,33,136,-0.33,2019
T154,T154,Brice Garnett,87,24.03,37,154,-0.32,2019
T154,T154,Kelly Kraft,87,24.03,37,154,-0.16,2019
156,156,Henrik Stenson,58,24.0,24,100,-0.25,2019
157,157,Michael Thompson,71,23.94,34,142,-0.06,2019
158,158,Roberto Díaz,73,23.85,31,130,-0.1,2019
159,159,Kevin Kisner,97,23.84,41,172,-0.17,2019
160,160,Graeme McDowell,75,23.13,31,134,-0.19,2019
161,161,Brandt Snedeker,102,22.99,40,174,-0.43,2019
162,162,Zach Johnson,64,22.66,29,128,-0.21,2019
163,163,Andrew Landry,80,22.3,33,148,-0.39,2019
164,164,Chez Reavie,99,21.88,35,160,-0.2,2019
165,165,Brady Schnell,53,20.59,21,102,-0.19,2019
166,166,"Ted Potter, Jr.",73,19.84,25,126,-0.24,2019
167,167,Michael Kim,61,19.61,20,102,-0.25,2019
168,168,Matt Fitzpatrick,54,19.15,18,94,-0.28,2019
169,169,Aaron Baddeley,55,19.09,21,110,-0.43,2019
170,170,Ernie Els,51,18.29,15,82,-0.2,2019
171,171,Pat Perez,68,18.0,18,100,-0.06,2019
172,172,Satoshi Kodaira,67,17.86,20,112,-0.3,2019
173,173,Kyle Jones,72,17.42,23,132,-0.3,2019
174,174,C.T. Pan,84,17.14,24,140,-0.5,2019
175,175,Rod Pampling,56,16.67,16,96,-0.13,2019
176,176,Johnson Wagner,64,16.38,19,116,-0.32,2019
177,177,Jonathan Byrd,55,16.33,16,98,-0.06,2019
178,178,David Hearn,55,14.89,14,94,-0.79,2019
179,179,Ryan Armour,92,14.88,25,168,-0.2,2019
180,180,Ryan Moore,74,14.39,19,132,-0.42,2019
181,181,Vaughn Taylor,93,14.29,26,182,-0.27,2019
182,182,Andrew Putnam,81,14.06,18,128,0.06,2019
183,183,Whee Kim,73,13.93,17,122,-0.06,2019
184,184,Brian Stuard,98,13.37,23,172,-0.04,2019
185,185,Alex Cejka,58,12.0,12,100,-0.25,2019
186,186,Brian Gay,93,8.64,14,162,-0.43,2019
187,187,Jim Furyk,73,7.35,10,136,-0.1,2019
188,188,Scott Langley,78,4.05,6,148,0.17,2019
1,2,Cameron Champ,70,85.71,120,140,-0.24,2020
2,1,Bryson DeChambeau,62,82.26,102,124,-0.22,2020
3,3,Tommy Fleetwood,40,78.57,44,56,+0.05,2020
4,4,Sam Burns,60,76.72,89,116,-0.22,2020
5,5,Matthew Wolff,74,76.52,101,132,-0.12,2020
6,6,Ryan Brehm,52,76.0,76,100,-0.29,2020
T7,T7,Cam Davis,62,75.0,87,116,-0.25,2020
T7,T7,Grayson Murray,36,75.0,54,72,-0.37,2020
9,9,Jason Kokrak,62,71.3,77,108,-0.03,2020
10,10,Brooks Koepka,40,71.05,54,76,-0.26,2020
11,11,Tyler McCumber,57,70.75,75,106,-0.19,2020
12,12,Bubba Watson,66,69.83,81,116,-0.30,2020
13,14,Patrick Rodgers,95,68.68,125,182,-0.32,2020
14,15,Jhonattan Vegas,52,68.48,63,92,-0.13,2020
15,16,Scott Harrington,68,68.38,93,136,-0.33,2020
16,13,Rory McIlroy,60,68.27,71,104,-0.18,2020
17,T18,Dustin Johnson,49,67.35,66,98,-0.05,2020
18,T18,Tony Finau,72,67.19,86,128,-0.30,2020
19,T18,Scottie Scheffler,82,67.07,110,164,-0.25,2020
20,17,Luke List,69,66.92,87,130,-0.34,2020
21,T18,Adam Scott,38,66.67,40,60,-0.23,2020
22,22,Paul Casey,56,65.63,63,96,-0.17,2020
23,23,Brandon Hagy,50,65.22,60,92,-0.45,2020
24,24,Jon Rahm,58,64.66,75,116,-0.20,2020
25,26,Will Gordon,36,64.06,41,64,-0.32,2020
26,27,Justin Thomas,66,63.79,74,116,-0.30,2020
27,25,Xander Schauffele,70,63.71,79,124,-0.22,2020
28,28,Beau Hossler,71,63.43,85,134,-0.15,2020
29,30,Sebastian Cappelen,55,63.21,67,106,-0.27,2020
30,31,Sergio Garcia,44,62.5,40,64,-0.05,2020
31,32,Wyndham Clark,65,62.26,66,106,-0.24,2020
32,33,Joaquin Niemann,76,60.29,82,136,-0.21,2020
33,34,Kevin Chappell,41,59.76,49,82,-0.41,2020
34,35,Kevin Tway,52,59.72,43,72,-0.26,2020
T35,T36,Kris Ventura,48,59.09,52,88,-0.27,2020
T35,T36,Nick Watney,46,59.09,52,88,-0.44,2020
37,T54,Tyrrell Hatton,42,58.82,40,68,-0.25,2020
T38,T38,Patrick Cantlay,46,58.7,54,92,-0.19,2020
T38,T38,Martin Trainer,48,58.7,54,92,-0.19,2020
40,40,Sepp Straka,70,58.57,82,140,-0.22,2020
41,41,Keegan Bradley,68,58.33,70,120,-0.16,2020
42,42,Byeong Hun An,75,57.94,73,126,-0.26,2020
43,43,Brendan Steele,68,57.81,74,128,-0.27,2020
44,T48,Sebastián Muñoz,84,57.74,97,168,-0.31,2020
45,44,Adam Schenk,78,57.58,76,132,-0.28,2020
46,45,Gary Woodland,62,57.41,62,108,-0.18,2020
47,46,Carlos Ortiz,72,56.94,82,144,-0.37,2020
T48,T48,Seamus Power,36,56.25,36,64,-0.44,2020
T48,T48,Matt Wallace,44,56.25,45,80,-0.33,2020
50,51,Charles Howell III,69,56.14,64,114,-0.27,2020
51,52,Justin Rose,38,55.88,38,68,-0.21,2020
52,53,Peter Uihlein,47,55.81,48,86,-0.42,2020
53,47,Hideki Matsuyama,74,55.65,69,124,-0.41,2020
54,56,Danny Lee,69,54.92,67,122,-0.33,2020
55,57,Harry Higgs,83,54.82,91,166,-0.18,2020
56,58,Keith Mitchell,64,54.46,61,112,-0.08,2020
57,59,Max Homa,70,54.03,67,124,-0.25,2020
T58,T60,Sung Kang,73,53.85,70,130,-0.21,2020
T58,T60,Martin Laird,39,53.85,42,78,-0.33,2020
60,T67,Lanto Griffin,96,53.26,98,184,-0.36,2020
61,62,Cameron Tringale,63,53.17,67,126,-0.28,2020
62,63,Danny Willett,40,53.13,34,64,-0.09,2020
63,64,Zack Sucher,38,52.78,38,72,-0.24,2020
64,65,Daniel Berger,64,52.5,63,120,-0.41,2020
65,66,Phil Mickelson,51,52.33,45,86,-0.13,2020
66,T67,Harold Varner III,74,52.27,69,132,-0.26,2020
67,69,Vince Whaley,40,51.32,39,76,-0.33,2020
68,70,Alex Noren,60,50.89,57,112,-0.11,2020
69,71,Scott Piercy,66,50.86,59,116,-0.29,2020
70,72,Ryan Palmer,68,50.83,61,120,-0.25,2020
71,79,Billy Horschel,79,50.0,67,134,-0.10,2020
72,81,Sungjae Im,94,49.39,81,164,-0.27,2020
73,73,Scott Stallings,71,49.25,66,134,-0.33,2020
74,74,Corey Conners,74,49.19,61,124,-0.16,2020
75,75,Joseph Bramlett,57,49.06,52,106,-0.29,2020
76,76,Michael Gligic,52,48.96,47,96,-0.15,2020
77,77,Talor Gooch,83,48.8,81,166,-0.23,2020
78,78,Si Woo Kim,78,48.48,64,132,-0.23,2020
79,80,Lucas Glover,67,48.18,53,110,-0.19,2020
80,82,Jordan Spieth,62,48.0,48,100,-0.06,2020
T81,T84,Jason Day,53,47.78,43,90,-0.12,2020
T81,T84,Aaron Wise,49,47.78,43,90,-0.21,2020
83,91,Cameron Smith,64,47.32,53,112,-0.06,2020
T84,83,Harris English,76,46.71,71,152,-0.30,2020
T84,86,Maverick McNealy,80,46.71,71,152,-0.31,2020
86,87,Emiliano Grillo,69,46.49,53,114,-0.15,2020
87,88,Richy Werenski,60,46.43,52,112,-0.35,2020
88,89,Charley Hoffman,63,46.36,51,110,-0.14,2020
89,90,Nelson Ledesma,42,46.25,37,80,-0.14,2020
90,96,Patrick Reed,74,46.21,61,132,-0.20,2020
T91,T92,Dominic Bozzelli,38,45.83,33,72,-0.48,2020
T91,T92,James Hahn,36,45.83,33,72,-0.45,2020
T91,T92,Shane Lowry,44,45.83,33,72,-0.27,2020
94,99,Mackenzie Hughes,70,45.71,64,140,-0.27,2020
95,95,Rickie Fowler,44,45.45,40,88,-0.33,2020
96,97,Robby Shelton,75,45.07,64,142,-0.22,2020
97,98,Louis Oosthuizen,48,45.0,36,80,-0.17,2020
98,105,Viktor Hovland,74,44.7,59,132,-0.37,2020
99,100,Jimmy Walker,46,44.57,41,92,-0.20,2020
100,101,Nick Taylor,59,44.07,52,118,-0.31,2020
T101,T103,Doug Ghim,44,43.75,35,80,-0.37,2020
T101,T103,Matt Jones,76,43.75,63,144,-0.32,2020
T101,108,Collin Morikawa,80,43.75,63,144,-0.19,2020
104,106,Doc Redman,82,43.29,71,164,-0.28,2020
105,107,Sam Ryder,74,42.86,60,140,-0.28,2020
106,102,Abraham Ancer,74,41.94,52,124,-0.13,2020
107,109,Marc Leishman,61,41.51,44,106,-0.14,2020
108,110,Russell Knox,67,41.27,52,126,-0.21,2020
109,111,Branden Grace,43,40.54,30,74,-0.33,2020
110,112,J.J. Spaun,62,40.52,47,116,-0.40,2020
111,113,K.H. Lee,76,40.44,55,136,-0.31,2020
112,114,Stewart Cink,51,40.2,41,102,-0.24,2020
T113,T115,Rhein Gibson,54,40.0,40,100,-0.30,2020
T113,T115,Hank Lebioda,57,40.0,44,110,-0.34,2020
115,117,Webb Simpson,52,39.42,41,104,-0.12,2020
116,118,Michael Gellerman,46,39.29,33,84,-0.30,2020
117,119,Matt Fitzpatrick,54,39.13,36,92,-0.25,2020
118,120,Chesson Hadley,62,38.89,42,108,-0.12,2020
119,121,Bronson Burgoon,55,38.68,41,106,-0.37,2020
120,122,D.J. Trahan,49,38.3,36,94,-0.44,2020
121,123,Josh Teater,43,37.8,31,82,-0.42,2020
122,124,Adam Hadwin,65,37.72,43,114,-0.21,2020
123,125,Denny McCarthy,81,37.66,58,154,-0.21,2020
124,126,Joel Dahmen,79,37.32,53,142,-0.25,2020
125,127,Bo Hoag,71,37.31,50,134,-0.32,2020
126,128,Matthew NeSmith,72,36.76,50,136,-0.14,2020
127,129,Troy Merritt,72,36.67,44,120,-0.16,2020
128,130,Bill Haas,46,36.36,32,88,-0.13,2020
129,131,Austin Cook,64,35.83,43,120,-0.33,2020
130,132,Ben Taylor,44,35.71,30,84,-0.10,2020
131,134,Rafa Cabrera Bello,53,35.37,29,82,-0.03,2020
132,135,Chase Seiffert,56,35.19,38,108,-0.24,2020
133,136,Dylan Frittelli,82,35.14,52,148,-0.23,2020
134,137,Mark Anderson,51,35.11,33,94,-0.21,2020
135,138,Xinjun Zhang,77,34.93,51,146,-0.22,2020
136,139,Kramer Hickok,51,34.69,34,98,-0.44,2020
137,140,Brian Harman,78,34.62,54,156,-0.13,2020
138,141,Patton Kizzire,55,34.55,38,110,-0.45,2020
139,142,Cameron Percy,49,34.44,31,90,-0.45,2020
140,143,Anirban Lahiri,35,34.29,24,70,-0.21,2020
141,144,Robert Streb,54,34.0,34,100,-0.21,2020
T142,146,Matt Every,47,33.33,30,90,-0.10,2020
T142,133,Kevin Na,71,33.33,42,126,-0.38,2020
144,147,Brice Garnett,58,32.76,38,116,-0.34,2020
145,148,Adam Long,88,32.5,52,160,-0.06,2020
146,149,Kevin Streelman,73,32.31,42,130,-0.43,2020
147,150,J.T. Poston,78,31.43,44,140,-0.32,2020
148,151,Bo Van Pelt,45,31.4,27,86,+0.07,2020
149,152,"Ted Potter, Jr.",46,30.68,27,88,-0.33,2020
150,153,Scott Brown,64,30.47,39,128,-0.33,2020
151,154,Tom Hoge,74,30.41,45,148,-0.31,2020
152,155,Bud Cauley,65,30.33,37,122,-0.32,2020
153,156,Wes Roach,42,30.0,24,80,-0.67,2020
154,157,Pat Perez,59,29.79,28,94,-0.46,2020
155,159,Roger Sloan,55,29.41,30,102,-0.20,2020
156,160,Russell Henley,67,29.37,37,126,-0.14,2020
157,161,Henrik Norlander,74,29.05,43,148,-0.47,2020
158,162,Mark Hubbard,86,28.49,49,172,-0.47,2020
159,158,Kevin Kisner,73,28.46,37,130,-0.24,2020
160,163,Ryan Moore,48,27.78,20,72,-0.25,2020
161,165,Fabián Gómez,59,27.27,30,110,-0.30,2020
162,166,Peter Malnati,61,27.19,31,114,-0.03,2020
163,168,Chris Baker,53,26.53,26,98,-0.38,2020
164,169,Brandt Snedeker,53,26.42,28,106,-0.04,2020
165,170,Rob Oppenheim,65,26.23,32,122,-0.16,2020
166,171,Arjun Atwal,35,25.81,16,62,-0.75,2020
167,172,Andrew Landry,63,25.4,32,126,-0.09,2020
168,173,Jim Herman,60,25.0,30,120,-0.20,2020
169,174,Brian Gay,67,24.6,31,126,E,2020
170,175,Nate Lashley,52,24.47,23,94,-0.39,2020
171,177,Michael Thompson,62,22.58,28,124,-0.32,2020
172,178,Zach Johnson,61,22.13,27,122,-0.22,2020
173,179,Rory Sabbatini,66,21.55,25,116,-0.28,2020
174,180,Jason Dufner,62,20.97,26,124,-0.27,2020
175,181,Ben Martin,38,20.83,15,72,-0.20,2020
T176,T182,Chris Stroud,48,20.65,19,92,-0.32,2020
T176,T182,Tim Wilkinson,50,20.65,19,92,-0.21,2020
178,184,David Hearn,55,20.59,21,102,-0.33,2020
179,185,Matt Kuchar,56,20.54,23,112,-0.30,2020
180,186,Tyler Duncan,83,20.48,34,166,-0.26,2020
181,187,Aaron Baddeley,49,20.21,19,94,-0.21,2020
182,188,Kyle Stanley,57,19.81,21,106,-0.43,2020
183,189,Ian Poulter,48,19.74,15,76,-0.13,2020
184,191,Brian Stuard,83,19.48,30,154,-0.33,2020
185,192,Chez Reavie,77,19.23,25,130,-0.24,2020
186,190,Brendon Todd,86,18.6,32,172,-0.31,2020
187,195,Zac Blair,70,18.18,24,132,-0.21,2020
188,196,Ryan Armour,60,18.1,21,116,-0.14,2020
189,197,Graeme McDowell,48,17.44,15,86,-0.27,2020
190,198,C.T. Pan,56,16.67,16,96,-0.06,2020
191,199,Jim Furyk,39,15.38,12,78,-0.42,2020
192,200,Vaughn Taylor,61,15.09,16,106,-0.25,2020
193,201,Andrew Putnam,46,13.24,9,68,-0.22,2020
1,1,Bryson DeChambeau,83,81.88,131,160,-0.27,2021
2,2,Rory McIlroy,77,81.08,120,148,-0.18,2021
3,3,Matthew Wolff,60,76.36,84,110,-0.17,2021
4,4,Cameron Champ,79,74.0,111,150,-0.26,2021
5,5,Will Gordon,92,72.16,127,176,-0.24,2021
6,6,Brooks Koepka,66,71.97,95,132,-0.21,2021
7,7,Wyndham Clark,84,71.15,111,156,-0.21,2021
8,8,Brandon Hagy,82,68.92,102,148,-0.21,2021
9,9,Ryan Brehm,62,68.1,79,116,-0.28,2021
10,10,Luke List,91,67.98,121,178,-0.29,2021
11,11,Sergio Garcia,79,66.89,99,148,-0.32,2021
12,12,Joaquin Niemann,105,66.67,136,204,-0.24,2021
13,13,Jason Kokrak,95,66.48,117,176,-0.20,2021
14,14,Dustin Johnson,75,65.97,95,144,-0.25,2021
T15,T15,Kris Ventura,78,65.71,92,140,-0.22,2021
T15,T15,Gary Woodland,74,65.71,92,140,-0.20,2021
17,17,Cam Davis,94,65.43,123,188,-0.22,2021
18,18,Joseph Bramlett,84,64.74,101,156,-0.21,2021
19,19,Dylan Frittelli,78,64.58,93,144,-0.24,2021
20,20,Stewart Cink,90,64.44,116,180,-0.25,2021
21,21,Tyler McCumber,70,63.97,87,136,-0.33,2021
22,22,Will Zalatoris,90,63.79,111,174,-0.17,2021
23,23,Jon Rahm,86,63.64,98,154,-0.21,2021
24,24,Erik van Rooyen,85,63.01,92,146,-0.16,2021
T25,T25,Keith Mitchell,88,62.5,105,168,-0.21,2021
T25,T25,Adam Scott,72,62.5,90,144,-0.17,2021
T25,T25,Jhonattan Vegas,90,62.5,110,176,-0.27,2021
28,28,Kevin Tway,68,62.1,77,124,-0.21,2021
29,29,Patrick Rodgers,106,60.78,124,204,-0.26,2021
30,30,Sam Burns,88,60.71,102,168,-0.27,2021
31,31,Xander Schauffele,83,59.87,91,152,-0.24,2021
32,32,Tony Finau,97,59.44,107,180,-0.33,2021
33,33,Martin Trainer,63,59.32,70,118,-0.07,2021
34,34,J.B. Holmes,50,58.33,56,96,-0.18,2021
35,35,Grayson Murray,53,58.16,57,98,-0.30,2021
36,36,Charley Hoffman,103,58.08,115,198,-0.28,2021
37,37,Paul Casey,75,57.64,83,144,-0.36,2021
38,38,Scott Harrington,85,57.59,91,158,-0.15,2021
39,39,Beau Hossler,92,57.39,101,176,-0.37,2021
40,40,Ryan Palmer,81,56.76,84,148,-0.35,2021
41,41,Justin Thomas,87,56.55,95,168,-0.32,2021
42,42,Bubba Watson,77,56.52,78,138,-0.24,2021
43,43,Scottie Scheffler,109,55.61,109,196,-0.32,2021
44,44,Viktor Hovland,90,55.42,92,166,-0.23,2021
45,45,Matt Jones,104,55.39,113,204,-0.24,2021
46,46,Patrick Cantlay,85,54.49,85,156,-0.20,2021
47,47,Lanto Griffin,95,54.44,98,180,-0.13,2021
48,48,Carlos Ortiz,95,53.26,98,184,-0.38,2021
49,49,Tom Lewis,88,53.13,85,160,-0.15,2021
50,50,Brendan Steele,82,52.63,80,152,-0.11,2021
51,51,Charl Schwartzel,90,52.33,90,172,-0.38,2021
52,52,Aaron Wise,82,51.88,83,160,-0.08,2021
53,53,Byeong Hun An,86,51.79,87,168,-0.16,2021
54,54,Tommy Fleetwood,65,51.67,62,120,-0.18,2021
55,55,Sepp Straka,100,51.04,98,192,-0.16,2021
56,56,Shane Lowry,79,50.66,77,152,-0.19,2021
57,57,Harris English,95,50.54,93,184,-0.37,2021
58,58,Hudson Swafford,82,50.0,82,164,-0.37,2021
59,59,Max Homa,93,48.84,84,172,-0.29,2021
60,60,Adam Schenk,110,48.53,99,204,-0.31,2021
61,61,Harold Varner III,96,48.33,87,180,-0.09,2021
62,62,Tyrrell Hatton,63,48.21,54,112,-0.02,2021
63,63,Matt Wallace,60,48.11,51,106,-0.37,2021
64,64,Harry Higgs,82,47.5,76,160,-0.26,2021
65,65,Phil Mickelson,74,47.3,70,148,-0.13,2021
66,66,Jordan Spieth,92,47.16,83,176,-0.31,2021
67,67,Keegan Bradley,90,47.09,81,172,-0.37,2021
T68,T68,Patton Kizzire,102,47.06,96,204,-0.15,2021
T68,T68,Sean O'Hair,55,47.06,48,102,-0.23,2021
70,70,J.T. Poston,87,47.02,79,168,-0.33,2021
71,71,Jason Day,68,46.92,61,130,-0.21,2021
72,72,Hideki Matsuyama,96,46.77,87,186,-0.33,2021
73,73,Cameron Tringale,94,46.74,86,184,-0.24,2021
74,74,Danny Lee,61,46.61,55,118,-0.07,2021
75,75,Matthew NeSmith,90,46.59,82,176,-0.35,2021
76,76,Bronson Burgoon,76,46.53,67,144,-0.15,2021
77,77,Emiliano Grillo,100,46.35,89,192,-0.33,2021
78,78,Nick Watney,62,46.3,50,108,-0.16,2021
79,79,Justin Rose,58,45.37,49,108,-0.33,2021
80,80,Ben Taylor,56,45.0,45,100,-0.18,2021
81,81,K.H. Lee,110,44.34,94,212,-0.22,2021
82,82,Daniel Berger,87,44.05,74,168,-0.22,2021
83,83,Jimmy Walker,74,43.92,65,148,-0.22,2021
84,84,Sungjae Im,127,43.85,107,244,-0.34,2021
85,85,Chesson Hadley,78,43.75,63,144,-0.22,2021
86,86,Scott Piercy,85,43.67,69,158,-0.10,2021
87,87,Sam Ryder,94,43.6,75,172,-0.20,2021
88,88,Maverick McNealy,84,43.59,68,156,-0.34,2021
89,89,Talor Gooch,97,43.33,78,180,-0.33,2021
90,90,Michael Gligic,88,43.13,69,160,-0.19,2021
91,91,Rickie Fowler,78,42.95,67,156,-0.31,2021
92,92,Cameron Smith,89,42.68,70,164,-0.39,2021
93,93,Rafael Campos,64,42.5,51,120,-0.43,2021
94,94,Scott Stallings,84,42.11,64,152,-0.16,2021
95,95,Bill Haas,50,42.05,37,88,-0.24,2021
96,96,Anirban Lahiri,68,41.91,57,136,-0.39,2021
97,97,Charles Howell III,70,41.43,58,140,-0.28,2021
98,98,Martin Laird,82,41.25,66,160,-0.20,2021
99,99,Hunter Mahan,59,41.23,47,114,-0.11,2021
100,100,Corey Conners,107,40.87,85,208,-0.27,2021
101,101,Alex Noren,86,40.85,67,164,-0.34,2021
102,102,Vince Whaley,88,40.63,65,160,-0.25,2021
103,103,C.T. Pan,82,40.0,64,160,-0.08,2021
104,104,Si Woo Kim,97,39.89,75,188,-0.48,2021
105,105,Sebastian Cappelen,60,39.81,43,108,-0.16,2021
106,106,Seamus Power,58,39.66,46,116,-0.33,2021
107,107,Sebastián Muñoz,105,39.22,80,204,-0.30,2021
108,108,Michael Kim,75,39.13,54,138,-0.15,2021
109,109,Branden Grace,87,38.89,63,162,-0.32,2021
110,110,James Hahn,72,38.57,54,140,-0.11,2021
111,111,Roger Sloan,88,38.41,63,164,-0.35,2021
112,112,Bo Van Pelt,78,38.19,55,144,-0.25,2021
113,113,Scott Brown,84,38.13,61,160,-0.21,2021
114,114,Chris Baker,62,37.96,41,108,-0.12,2021
115,115,Denny McCarthy,94,37.23,70,188,-0.27,2021
116,116,Louis Oosthuizen,81,37.16,55,148,-0.31,2021
T117,T117,Lucas Glover,98,36.98,71,192,-0.28,2021
T117,T117,Kevin Streelman,102,36.98,71,192,-0.13,2021
119,119,Marc Leishman,83,36.84,56,152,-0.11,2021
120,120,Henrik Norlander,88,36.31,61,168,-0.25,2021
121,121,Robby Shelton,86,36.25,58,160,-0.21,2021
T122,T122,Mackenzie Hughes,94,36.11,65,180,-0.05,2021
T122,T122,Hank Lebioda,74,36.11,52,144,-0.29,2021
124,124,Billy Horschel,97,36.05,62,172,-0.34,2021
125,125,Collin Morikawa,83,35.9,56,156,-0.27,2021
126,126,Matt Fitzpatrick,69,35.61,47,132,-0.13,2021
127,127,Sung Kang,90,35.47,61,172,-0.05,2021
128,128,Camilo Villegas,81,35.06,54,154,-0.17,2021
T129,T129,Brian Harman,105,35.0,70,200,-0.36,2021
T129,T129,Nick Taylor,94,35.0,63,180,-0.06,2021
131,131,Doc Redman,84,34.87,53,152,-0.09,2021
132,132,D.J. Trahan,70,34.85,46,132,-0.37,2021
133,133,Lee Westwood,65,34.68,43,124,-0.33,2021
134,134,Robert Streb,84,34.15,56,164,-0.27,2021
135,135,Ben Martin,54,34.0,34,100,-0.32,2021
136,136,Webb Simpson,77,33.78,50,148,-0.38,2021
137,137,Peter Malnati,84,33.75,54,160,-0.17,2021
138,138,Richy Werenski,94,33.72,58,172,-0.26,2021
139,139,Adam Hadwin,90,33.52,59,176,-0.15,2021
T140,T140,Andrew Landry,72,33.33,44,132,-0.09,2021
T140,T140,Josh Teater,54,33.33,32,96,-0.13,2021
T142,T142,"Ted Potter, Jr.",68,33.09,45,136,-0.04,2021
T142,T142,Xinjun Zhang,72,33.09,45,136,-0.27,2021
144,144,Rhein Gibson,62,33.04,37,112,-0.22,2021
T145,T145,Michael Gellerman,51,32.98,31,94,E,2021
T145,T145,Danny Willett,51,32.98,31,94,-0.26,2021
147,147,Jim Herman,66,32.58,43,132,-0.26,2021
148,148,Joel Dahmen,88,32.32,53,164,+0.04,2021
149,149,Pat Perez,104,32.29,62,192,-0.35,2021
150,150,Russell Knox,96,31.52,58,184,-0.31,2021
151,151,Doug Ghim,90,31.4,54,172,-0.11,2021
152,152,Kyle Stanley,96,31.11,56,180,-0.21,2021
153,153,John Huh,62,31.03,36,116,-0.14,2021
154,154,Russell Henley,87,30.95,52,168,-0.27,2021
155,155,Chris Kirk,90,30.81,53,172,-0.11,2021
156,156,Jason Dufner,88,30.23,52,172,-0.19,2021
157,157,Rob Oppenheim,80,29.73,44,148,-0.45,2021
158,158,Troy Merritt,104,29.08,57,196,-0.21,2021
159,159,Nate Lashley,78,28.95,44,152,-0.18,2021
160,160,Aaron Baddeley,60,28.7,31,108,-0.26,2021
161,161,Tyler Duncan,98,28.33,51,180,+0.06,2021
162,162,Kramer Hickok,71,28.26,39,138,-0.41,2021
163,163,Bo Hoag,93,28.16,49,174,-0.20,2021
164,164,Nelson Ledesma,54,28.13,27,96,-0.07,2021
165,165,Abraham Ancer,101,28.06,55,196,-0.24,2021
166,166,Austin Cook,78,27.78,40,144,-0.13,2021
167,167,Brice Garnett,100,27.72,51,184,-0.35,2021
168,168,Patrick Reed,81,27.56,43,156,-0.26,2021
169,169,Kevin Kisner,83,26.92,42,156,-0.12,2021
170,170,Rafa Cabrera Bello,76,26.35,39,148,-0.21,2021
171,171,Satoshi Kodaira,80,26.32,40,152,-0.23,2021
172,172,Adam Long,87,26.19,44,168,-0.16,2021
173,173,Rory Sabbatini,75,26.0,39,150,-0.26,2021
174,174,Chase Seiffert,84,25.64,40,156,-0.25,2021
175,175,Kevin Na,90,25.29,44,174,-0.30,2021
T176,T176,Luke Donald,58,25.0,28,112,-0.25,2021
T176,T176,Tom Hoge,100,25.0,48,192,-0.23,2021
T176,T176,Zach Johnson,84,25.0,42,168,-0.33,2021
179,179,Matt Kuchar,75,24.24,32,132,-0.19,2021
180,180,Ian Poulter,76,23.61,34,144,-0.21,2021
181,181,Cameron Percy,85,23.38,36,154,-0.33,2021
182,182,Brandt Snedeker,90,23.21,39,168,-0.05,2021
183,183,Michael Thompson,80,22.97,34,148,-0.26,2021
184,184,J.J. Spaun,76,22.22,32,144,-0.25,2021
185,185,Brian Gay,72,21.43,30,140,-0.20,2021
186,186,Andrew Putnam,95,21.35,38,178,-0.21,2021
187,187,Fabián Gómez,60,21.3,23,108,-0.17,2021
188,188,Mark Anderson,62,20.54,23,112,-0.09,2021
189,189,Chez Reavie,90,19.05,32,168,-0.19,2021
190,190,Ryan Armour,80,18.59,29,156,-0.21,2021
191,191,Mark Hubbard,102,17.19,33,192,-0.06,2021
192,192,Vaughn Taylor,81,13.46,21,156,-0.10,2021
193,193,Brendon Todd,93,11.63,20,172,-0.50,2021
194,194,Brian Stuard,108,11.54,24,208,-0.21,2021
195,195,David Hearn,68,7.81,10,128,-0.40,2021
196,196,K.J. Choi,54,3.85,4,104,E,2021
1,1,Cameron Champ,56,84.82,95,112,-0.23,2022
2,2,Rory McIlroy,60,82.5,99,120,-0.26,2022
3,3,Cameron Young,85,79.27,130,164,-0.28,2022
4,4,Brandon Hagy,82,78.38,116,148,-0.20,2022
5,5,Jon Rahm,74,77.14,108,140,-0.26,2022
6,6,Will Zalatoris,85,76.39,110,144,-0.27,2022
7,7,Luke List,83,76.32,116,152,-0.25,2022
8,8,Taylor Pendrith,75,75.35,107,142,-0.37,2022
9,9,Trey Mullinax,84,74.39,122,164,-0.27,2022
10,10,Joseph Bramlett,87,74.07,120,162,-0.18,2022
11,11,Matthew Wolff,50,73.4,69,94,-0.14,2022
12,12,Jhonattan Vegas,77,73.29,107,146,-0.24,2022
13,13,Wyndham Clark,101,73.12,136,186,-0.21,2022
14,14,Adam Scott,76,72.92,105,144,-0.19,2022
15,15,Justin Thomas,79,72.37,110,152,-0.22,2022
T16,T16,Callum Tarren,77,69.57,96,138,-0.25,2022
T16,T16,Gary Woodland,69,69.57,96,138,-0.25,2022
18,18,Jared Wolfe,61,69.49,82,118,-0.15,2022
